    dgrf80 
 10  6371.2 1980.0
   1  0 -29992.      0.
   1  1  -1956.   5604.
   2  0  -1997.      0.
   2  1   3027.  -2129.
   2  2   1663.   -200.
   3  0   1281.      0.
   3  1  -2180.   -336.
   3  2   1251.    271.
   3  3    833.   -252.
   4  0    938.      0.
   4  1    782.    212.
   4  2    398.   -257.
   4  3   -419.     53.
   4  4    199.   -297.
   5  0   -218.      0.
   5  1    357.     46.
   5  2    261.    150.
   5  3    -74.   -151.
   5  4   -162.    -78.
   5  5    -48.     92.
   6  0     48.      0.
   6  1     66.    -15.
   6  2     42.     93.
   6  3   -192.     71.
   6  4      4.    -43.
   6  5     14.     -2.
   6  6   -108.     17.
   7  0     72.      0.
   7  1    -59.    -82.
   7  2      2.    -27.
   7  3     21.     -5.
   7  4    -12.     16.
   7  5      1.     18.
   7  6     11.    -23.
   7  7     -2.    -10.
   8  0     18.      0.
   8  1      6.      7.
   8  2      0.    -18.
   8  3    -11.      4.
   8  4     -7.    -22.
   8  5      4.      9.
   8  6      3.     16.
   8  7      6.    -13.
   8  8     -1.    -15.
   9  0      5.      0.
   9  1     10.    -21.
   9  2      1.     16.
   9  3    -12.      9.
   9  4      9.     -5.
   9  5     -3.     -6.
   9  6     -1.      9.
   9  7      7.     10.
   9  8      2.     -6.
   9  9     -5.      2.
  10  0     -4.      0.
  10  1     -4.      1.
  10  2      2.      0.
  10  3     -5.      3.
  10  4     -2.      6.
  10  5      5.     -4.
  10  6      3.      0.
  10  7      1.     -1.
  10  8      2.      4.
  10  9      3.      0.
  10 10      0.     -6.
