    igrf05 
 10  6371.2 2005.0
   1  0 -29556.8     0.0
   1  1  -1671.8  5080.0
   2  0  -2340.5     0.0
   2  1   3047.0 -2594.9
   2  2   1656.9  -516.7
   3  0   1335.7     0.0
   3  1  -2305.3  -200.4  
   3  2   1246.8   269.3  
   3  3    674.4  -524.5   
   4  0    919.8     0.0
   4  1    798.2   281.4  
   4  2    211.5  -225.8
   4  3   -379.5   145.7
   4  4    100.2  -304.7
   5  0   -227.6     0.0
   5  1    354.4    42.7
   5  2    208.8   179.8
   5  3   -136.6  -123.0
   5  4   -168.3   -19.5
   5  5    -14.1   103.6
   6  0     72.9     0.0
   6  1     69.6   -20.2
   6  2     76.6    54.7
   6  3   -151.1    63.7
   6  4    -15.0   -63.4
   6  5     14.7     0.0
   6  6    -86.4    50.3
   7  0     79.8     0.0
   7  1    -74.4   -61.4
   7  2     -1.4   -22.5
   7  3     38.6     6.9
   7  4     12.3    25.4
   7  5      9.4    10.9
   7  6      5.5   -26.4
   7  7      2.0    -4.8
   8  0     24.8     0.0
   8  1      7.7    11.2
   8  2    -11.4   -21.0
   8  3     -6.8     9.7
   8  4    -18.0   -19.8
   8  5     10.0    16.1
   8  6      9.4     7.7
   8  7    -11.4   -12.8
   8  8     -5.0    -0.1
   9  0      5.6     0.0
   9  1      9.8   -20.1
   9  2      3.6    12.9
   9  3     -7.0    12.7
   9  4      5.0    -6.7
   9  5    -10.8    -8.1
   9  6     -1.3     8.1
   9  7      8.7     2.9
   9  8     -6.7    -7.9
   9  9     -9.2     5.9
  10  0     -2.2     0.0
  10  1     -6.3     2.4
  10  2      1.6     0.2
  10  3     -2.5     4.4
  10  4     -0.1     4.7
  10  5      3.0    -6.5
  10  6      0.3    -1.0
  10  7      2.1    -3.4
  10  8      3.9    -0.9
  10  9     -0.1    -2.3
  10 10     -2.2    -8.0
  
