    igrf10
 10 6371.2 2010.0
   1  0 -29496.5     0.0
   1  1  -1585.9  4945.1
   2  0  -2396.6     0.0
   2  1   3026.0 -2707.7
   2  2   1668.6  -575.4
   3  0   1339.7     0.0
   3  1  -2326.3  -160.5
   3  2   1231.7   251.7
   3  3    634.2  -536.8
   4  0    912.6     0.0
   4  1    809.0   286.4
   4  2    166.6  -211.2
   4  3   -357.1   164.4
   4  4     89.7  -309.2
   5  0   -231.1     0.0
   5  1    357.2    44.7
   5  2    200.3   188.9
   5  3   -141.2  -118.1
   5  4   -163.1     0.1
   5  5     -7.7   100.9
   6  0     72.8     0.0
   6  1     68.6   -20.8
   6  2     76.0    44.2
   6  3   -141.4    61.5
   6  4    -22.9   -66.3
   6  5     13.1     3.1
   6  6    -77.9    54.9
   7  0     80.4     0.0
   7  1    -75.0   -57.8
   7  2     -4.7   -21.2
   7  3     45.3     6.6
   7  4     14.0    24.9
   7  5     10.4     7.0
   7  6      1.6   -27.7
   7  7      4.9    -3.4
   8  0     24.3     0.0
   8  1      8.2    10.9
   8  2    -14.5   -20.0
   8  3     -5.7    11.9
   8  4    -19.3   -17.4
   8  5     11.6    16.7
   8  6     10.9     7.1
   8  7    -14.1   -10.8
   8  8     -3.7     1.7
   9  0      5.4     0.0
   9  1      9.4   -20.5
   9  2      3.4    11.6
   9  3     -5.3    12.8 
   9  4      3.1    -7.2
   9  5    -12.4    -7.4
   9  6     -0.8     8.0
   9  7      8.4     2.2
   9  8     -8.4    -6.1
   9  9    -10.1     7.0
  10  0     -2.0     0.0
  10  1     -6.3     2.8
  10  2      0.9    -0.1
  10  3     -1.1     4.7
  10  4     -0.2     4.4
  10  5      2.5    -7.2
  10  6     -0.3    -1.0
  10  7      2.2    -4.0
  10  8      3.1    -2.0
  10  9     -1.0    -2.0
  10 10     -2.8    -8.3

