'<no equivalent>', 'Sensor Name', 'property', 'Name of satellite from which data was taken', 'None (could be "ERS1", "ERS2", "Envisat", "ALOS", "Terrasar-X", "Cosmo-Skymed", "Radarsat-1", "Radarsat-2")'
'<no equivalent>', 'Debug', 'property', 'Switch to enable debugging logging', 'None'
'<no equivalent>', 'Posting', 'property', 'Output posting of the Geocoded file', 'None (use DEM natural posting)'
'im1', 'Image Raw Data File', 'property', 'File name of the master raw data file', 'None'
'im2', 'Image Raw Data File', 'property', 'File name of the slave raw data file', 'None'
'SarDir1', '<no equivalent>', 'N/A', 'Directory containing master raw data file and derived products', 'N/A'
'SarDir2', '<no equivalent>', 'N/A', 'Directory containing slsave raw data file and derived products', 'N/A'
'IntDir', '<no equivalent>', 'N/A', 'Directory containing interferometric data produces', 'N/A'
'SimDir', '<no equivalent>', 'N/A', 'Directory containing simulations to be used; create if necessary', 'N/A'
'DEM', 'Dem', 'Component', 'Component that allows different DEM file types to be imported', 'None'
'', 'needs xml description file', 'Catalog', 'Separate file that describes the DEM and its properties', 'None'
'', '', '', 'alternatively specify all DEM properties, including file name, ', ''
'', '', '', 'datum, coordinate system etc, bounding box, etc. in top-level catalog', ''
'GeoDir', '<no equivalent>', 'N/A', 'Directory containing geocoded output create if necessary', 'N/A'
'FilterStrength', 'Adaptive Filter Weight', 'property', 'Goldstein-Werner adaptive filter alpha weight', '0.5 (must be > 0)'
'UnwrappedThreshold', 'Unwrapping Correlation Threshold', 'property', 'Correlation value below which to not unwrap', '0.1 (0-1)'
'OrbitType', 'Orbit Type', 'property of Frame', 'Format of orbit file used to process data', 'None'
'BaselineType', 'Baseline Type', 'N/A', 'Format of baseline', '$OrbitType'
'Rlooks_sim*', 'Range Looks for Simulation', 'property', 'Number of range looks to take relative to SLC spacing in simulation', '4'
'Rlooks_int*', 'Range Looks for Interferogram', 'property', 'Number of range looks to take relative to SLC spacing in interferogram', '$Rlooks_sim'
'Rlooks_unw*', 'Range Looks for Unwrapping', 'property', 'Number of range looks to take relative to SLC spacing in unwrapped', '$Rlooks_sim'
'Rlooks_sml**', 'Range Looks for Thumbnails', 'property', 'Number of range looks to take for thumbnail images', '16'
'Alooks_sml**', 'Azimuth Looks for Thumbnails', 'property', 'Number of range looks to take for thumbnail images', '$Rlooks_sml*$pixel_ratio'
'pixel_ratio*', 'Pixel Aspect Ratio', 'property', 'Intrinsic aspect ratio for all interferometric data', '5 (should be sensor/mode dependent)'
'', '(Azimuth looks / Range looks)'
'usergivendop1', '<no equivalent>', 'property', 'Actually not used, but a method to set a fixed Doppler for processing', '0'
'usergivendop2', '<no equivalent>', 'property', 'Actually not used, but a method to set a fixed Doppler for processing', '0'
'unw_seedx*', 'Unwrapping Seed Coordinates', 'property', 'Range,Azimuth pixel coordinate to place unwrapping seed', 'None'
'unw_seedy*', 'Would be a coordinate pair in ISCE'
